item_id,restaurant_id,item_name,category,price
1,1,Farmhouse Pizza 1,Starter,183.26
2,2,Chicken 65 2,Main Course,421.48
3,3,Veg Biryani 3,Main Course,85.71
4,4,Paneer Tikka 4,Starter,200.98
5,5,Momos 5,Starter,640.49
6,6,Chicken Noodles 6,Dessert,477.49
7,7,Margherita Pizza 7,Main Course,382.96
8,8,French Fries 8,Beverage,564.69
9,9,Paneer Butter Masala 9,Dessert,368.51
10,10,Butter Naan 10,Combo,455.47
11,11,Chicken 65 11,Beverage,230.43
12,12,Gulab Jamun 12,Beverage,225.96
13,13,Paneer Butter Masala 13,Main Course,217.39
14,14,Cold Coffee 14,Main Course,146.8
15,15,Vada 15,Beverage,352.05
16,16,Momos 16,Beverage,523.85
17,17,Fresh Lime Soda 17,Beverage,575.95
18,18,Chicken Fried Rice 18,Starter,434.86
19,19,Ice Cream 19,Beverage,640.12
20,20,Butter Naan 20,Starter,596.23
21,21,Chicken Curry 21,Dessert,286.12
22,22,Farmhouse Pizza 22,Starter,427.58
23,23,Butter Naan 23,Main Course,343.82
24,24,Paneer Butter Masala 24,Beverage,165.3
25,25,Gulab Jamun 25,Starter,163.91
26,26,Butter Naan 26,Beverage,478.24
27,27,Chicken Fried Rice 27,Starter,404.29
28,28,Brownie 28,Dessert,531.21
29,29,Veg Noodles 29,Beverage,617.59
30,30,Paneer Butter Masala 30,Combo,83.7
31,31,Chicken Curry 31,Starter,293.06
32,32,Chicken Biryani 32,Dessert,484.39
33,33,Gulab Jamun 33,Beverage,519.64
34,34,Brownie 34,Combo,105.25
35,35,Idli 35,Combo,177.29
36,36,Idli 36,Main Course,351.24
37,37,Fresh Lime Soda 37,Combo,170.76
38,38,Paneer Tikka 38,Starter,288.23
39,39,Chicken 65 39,Combo,331.19
40,40,Paneer Butter Masala 40,Combo,187.89
41,41,Brownie 41,Dessert,93.28
42,42,Veg Noodles 42,Starter,439.12
43,43,Chicken 65 43,Combo,622.5
44,44,Brownie 44,Starter,296.9
45,45,Farmhouse Pizza 45,Main Course,289.3
46,46,Burger 46,Starter,551.06
47,47,Veg Fried Rice 47,Dessert,161.86
48,48,Chicken Curry 48,Main Course,634.02
49,49,Chicken Noodles 49,Beverage,564.04
50,50,Paneer Biryani 50,Main Course,290.95
51,51,Veg Fried Rice 51,Dessert,505.94
52,52,Ice Cream 52,Starter,556.26
53,53,Ice Cream 53,Main Course,552.78
