order_item_id,order_id,item_id,quantity,price
1,1,3246,3,503.03
2,1,2046,3,536.26
3,1,3546,1,514.09
4,2,3603,3,187.35
5,2,2403,2,639.39
6,3,4772,3,610.76
7,3,3272,1,412.77
8,4,243,1,232.85
9,4,4743,3,271.64
10,4,3243,2,612.56
11,4,4143,3,363.98
12,5,1259,1,497.09
13,5,4859,1,219.14
14,6,1779,1,182.1
15,6,3579,1,200.12
16,6,879,2,438.73
17,7,723,3,556.96
18,7,2523,3,236.78
19,7,3723,3,120.83
20,8,3995,3,190.51
21,8,3695,3,573.42
22,8,395,3,467.13
23,9,2146,3,258.71
24,9,4846,2,133.54
25,9,4546,3,108.29
26,9,3646,3,462.31
27,10,456,3,335.54
28,10,2556,3,521.85
29,11,1913,2,177.04
30,11,413,2,246.31
31,11,1013,3,228.88
32,12,534,1,530.27
33,12,3834,2,500.64
34,13,3587,2,486.06
35,13,2687,3,484.22
36,14,1941,3,174.6
37,14,4641,1,301.93
38,15,1644,3,163.69
39,15,4344,1,295.8
40,15,3444,1,375.59
41,16,3567,3,614.66
42,16,867,1,388.18
43,16,4467,2,483.72
44,16,1467,2,491.48
45,17,198,2,607.24
46,17,798,2,99.38
47,17,498,3,646.37
48,18,2829,2,130.0
49,18,4929,3,177.28
50,19,4854,1,576.89
51,19,354,1,403.58
52,19,954,2,126.1
53,20,905,2,642.9
54,20,3005,3,274.05
55,20,3305,1,381.81
56,21,2199,3,620.63
57,21,4299,1,375.11
58,22,1023,2,449.79
59,22,4623,3,125.77
60,22,3423,3,91.44
61,23,1492,3,450.84
62,24,4459,1,286.55
63,24,2659,1,597.22
64,24,2059,3,445.6
65,24,1159,1,424.37
66,25,4080,2,414.94
67,25,2580,3,581.16
68,25,1380,1,514.52
69,26,3043,1,643.18
70,26,4843,1,365.21
71,26,4243,3,342.73
72,26,2143,1,429.33
73,27,1422,3,488.99
74,27,822,3,544.93
75,28,1366,1,449.71
76,28,2266,1,221.94
77,29,3471,1,586.52
78,29,4371,2,534.95
79,30,3012,2,210.23
80,30,4212,1,174.52
81,31,4191,2,230.23
82,31,3591,2,612.88
83,32,2139,3,434.42
84,33,901,2,396.41
85,33,1501,1,188.36
86,33,3301,2,644.33
87,34,1893,1,437.02
88,35,2816,2,101.93
89,35,4916,1,138.83
90,35,4316,2,83.29
91,36,4029,3,412.99
92,36,3729,2,367.67
93,37,1501,2,188.36
94,37,1801,1,642.9
95,37,2101,3,630.2
96,38,842,1,138.18
97,39,974,2,233.07
98,39,3374,1,586.99
99,39,1874,1,329.75
100,40,4946,1,256.62
101,40,2846,2,533.98
102,40,1346,3,127.82
103,41,2444,1,519.97
104,42,4190,3,243.02
105,42,2090,2,189.33
106,43,3568,2,405.72
107,43,568,3,320.19
108,43,1168,3,394.54
109,43,2368,2,258.49
110,44,1172,1,598.64
111,44,2672,3,627.97
112,44,1472,1,510.63
113,44,1772,1,464.14
114,45,3457,3,200.27
115,45,3757,2,273.12
116,46,4292,2,521.07
117,47,3278,1,246.02
118,47,278,1,443.29
119,48,3597,1,342.74
120,48,4497,1,447.0
121,48,1797,3,298.86
122,48,3297,1,613.37
123,49,2161,2,431.41
124,49,3661,3,419.06
125,50,3606,2,483.1
126,50,3906,2,593.58
127,50,606,3,117.24
128,51,1161,2,184.76
129,51,2361,2,264.78
130,52,883,3,464.29
131,52,4483,2,485.75
132,53,1434,1,577.92
133,53,2634,2,586.15
134,54,2761,1,561.28
135,54,3661,2,419.06
136,55,2642,3,317.06
137,55,1142,1,555.01
138,55,1742,2,266.29
139,55,3242,2,496.36
140,56,3077,3,314.37
141,56,3677,1,553.51
142,56,977,2,296.7
143,57,4685,3,406.98
144,57,3485,2,488.8
145,57,1685,1,435.72
146,58,3830,2,616.71
147,59,4490,2,174.5
148,59,2690,2,124.24
149,60,4981,3,167.84
150,60,1981,2,639.83
151,60,1381,2,502.93
152,61,1363,2,446.38
153,61,4663,1,577.72
154,62,377,2,386.11
155,62,3377,3,212.81
156,62,677,1,246.67
157,63,4008,2,631.54
158,63,408,3,480.99
159,63,1908,2,274.06
160,63,3108,3,469.8
161,64,2254,3,144.69
162,64,754,1,94.84
163,64,1354,3,564.99
164,65,3975,1,334.17
165,65,4875,2,576.35
166,65,1575,2,274.59
167,66,557,1,520.72
168,67,2437,3,148.39
169,67,2737,3,602.08
170,68,2770,2,472.08
171,68,1570,1,308.32
172,69,1753,1,507.58
173,69,2353,3,268.24
174,70,4971,1,233.82
175,70,171,3,272.64
176,71,3798,3,121.76
177,71,2598,1,268.22
178,72,2185,3,425.94
179,72,2485,2,146.27
180,73,2429,3,277.27
181,74,2057,1,543.61
182,74,3257,2,94.42
183,75,235,3,271.31
184,75,535,3,238.94
185,75,835,3,93.78
186,75,4435,3,451.23
187,76,3562,1,212.65
188,76,1162,1,236.63
189,77,3521,3,530.16
190,77,3221,1,540.56
191,77,4421,2,626.25
192,77,2921,2,371.37
193,78,4216,1,189.08
194,79,2758,2,179.54
195,80,3321,3,406.57
196,80,3021,2,579.72
197,81,981,1,82.66
198,81,4281,1,572.97
199,82,3998,1,630.98
200,82,398,2,399.98
201,82,2198,2,229.17
202,83,3108,2,469.8
203,83,708,2,184.28
204,84,4404,2,123.68
205,84,2004,1,372.85
206,84,804,1,280.15
207,85,3676,1,159.35
208,85,1576,2,558.17
209,85,3976,1,90.94
210,86,2335,1,357.08
211,86,4135,2,467.8
212,86,235,2,271.31
213,87,710,1,389.91
214,87,3110,1,471.83
215,87,3410,1,151.08
216,88,3352,3,390.35
217,88,352,3,81.87
218,89,4520,2,355.21
219,89,3620,3,538.14
220,89,2420,3,447.65
221,90,3899,2,502.04
222,90,2699,2,359.49
223,91,1938,1,98.7
224,92,4174,1,401.02
225,92,2074,3,648.97
226,93,2790,1,204.47
227,94,2910,1,300.5
228,94,4710,3,177.65
229,95,1864,1,254.9
230,95,4264,3,384.38
231,96,3292,1,613.34
232,96,2692,2,95.94
233,96,1792,2,394.46
234,96,4492,2,450.8
235,97,4535,3,393.24
236,97,3035,1,471.86
237,98,258,2,221.25
238,99,2859,3,491.14
239,99,1059,3,508.92
240,100,4839,2,374.69
241,101,3642,3,574.07
242,101,1542,2,220.68
243,102,286,2,93.96
244,102,1786,1,292.68
245,103,1263,2,617.19
246,103,2163,3,204.3
247,103,663,1,418.75
248,104,2249,2,170.97
249,104,449,3,563.34
250,104,3749,3,169.68
251,104,1049,3,631.52
252,105,4388,3,443.75
253,105,1388,1,328.21
254,105,3788,3,139.15
255,105,488,3,189.99
256,106,29,3,617.59
257,106,629,2,533.2
258,106,2729,3,326.6
259,107,1035,1,477.37
260,108,257,2,504.47
261,108,4457,2,497.74
262,109,1314,1,428.36
263,109,2514,2,522.81
264,110,2736,2,561.36
265,110,36,1,351.24
266,110,3636,1,302.19
267,111,419,1,281.52
268,111,1619,2,475.79
269,111,719,3,295.34
270,112,3059,2,91.9
271,112,1559,3,208.08
272,113,755,3,81.22
273,113,155,1,100.71
274,113,4055,1,403.0
275,114,1590,3,404.61
276,114,3090,2,634.26
277,114,2190,2,479.46
278,115,4949,3,517.28
279,115,4049,3,106.73
280,115,2549,3,455.07
281,115,2849,3,600.12
282,116,3754,1,541.59
283,116,154,1,161.41
284,117,4712,1,128.37
285,117,3512,1,510.08
286,117,1712,1,465.58
287,118,2417,1,547.76
288,118,1217,1,242.52
289,118,4217,1,358.79
290,119,549,1,399.1
291,119,3849,1,301.02
292,120,3987,2,323.07
293,120,3087,3,575.98
294,120,2487,3,440.8
295,121,2959,2,417.68
296,121,1459,3,130.52
297,122,1369,3,186.49
298,122,1969,3,257.77
299,122,469,3,331.09
300,123,4981,3,167.84
301,123,481,1,169.72
302,124,3525,3,634.11
303,125,3418,1,118.0
304,125,1018,2,244.06
305,126,2110,2,618.66
306,126,2410,2,196.84
307,127,1496,3,547.84
308,127,896,1,432.1
309,128,3479,2,479.37
310,128,4079,3,435.5
311,128,479,3,318.21
312,128,779,3,629.8
313,129,1935,3,325.33
314,129,1335,1,363.68
315,129,1635,3,365.31
316,130,4893,3,232.69
317,130,2193,1,230.09
318,130,393,3,211.78
319,131,4918,1,90.18
320,131,4318,2,216.12
321,131,1018,1,244.06
322,131,718,3,200.15
323,132,715,3,113.87
324,132,4315,1,117.82
325,132,3115,2,280.01
326,132,115,1,372.11
327,133,2712,1,155.47
328,133,3012,1,210.23
329,133,4512,2,300.42
330,134,739,1,339.09
331,134,1639,3,610.59
332,135,2108,3,479.9
333,135,608,1,586.01
334,135,2408,1,513.45
335,136,3479,3,479.37
336,136,2579,3,284.22
337,136,3179,3,199.92
338,137,179,2,138.12
339,137,4079,1,435.5
340,137,1979,2,621.12
341,138,3761,2,442.5
342,139,3765,2,125.11
343,139,765,2,639.65
344,139,2565,3,605.99
345,139,3465,3,107.4
346,140,1838,1,143.67
347,140,4538,3,445.58
348,141,754,1,94.84
349,141,1054,3,499.55
350,142,3514,2,432.51
351,142,4414,3,99.92
352,143,2658,3,377.82
353,143,4758,3,149.62
354,143,1158,2,271.32
355,144,4396,1,318.0
356,144,3196,3,185.51
357,145,1895,1,109.79
358,145,1295,1,139.87
359,145,4895,3,598.55
360,145,3395,3,586.66
361,146,2000,2,591.94
362,146,3800,3,487.3
363,146,2600,3,612.51
364,146,1100,1,243.76
365,147,2908,2,262.31
366,148,1944,1,498.31
367,148,3744,3,465.18
368,149,2975,1,124.29
369,150,435,1,391.54
370,150,735,1,339.98
371,151,1594,3,138.43
372,152,4512,3,300.42
373,152,2412,1,552.97
374,153,1331,2,402.35
375,153,1931,3,556.81
376,153,4031,2,118.37
377,154,66,3,536.6
378,154,1866,1,302.15
379,154,966,1,340.39
380,155,778,2,80.45
381,155,2878,2,440.23
382,155,4378,1,371.88
383,156,2744,3,438.73
384,156,1244,1,587.09
385,156,3644,1,274.7
386,157,831,1,431.82
387,157,4431,3,265.58
388,158,4715,2,152.49
389,158,1415,3,358.77
390,158,3515,1,400.3
391,159,2524,2,244.14
392,159,4924,1,598.54
393,159,724,2,350.29
394,160,1420,3,107.35
395,160,1120,1,358.35
396,161,622,3,273.6
397,161,22,1,427.58
398,161,1222,3,405.68
399,162,2837,2,586.51
400,162,1337,3,369.33
401,162,1637,3,490.03
402,162,137,2,146.32
403,163,4390,3,143.73
404,163,4090,3,278.18
405,163,4690,3,176.88
406,164,2897,3,206.67
407,164,1697,2,362.41
408,164,3797,2,213.53
409,165,1239,3,325.2
410,165,3339,3,135.71
411,165,4239,1,626.69
412,166,943,1,279.58
413,166,3043,3,643.18
414,166,4243,3,342.73
415,167,484,3,391.64
416,167,2884,3,202.98
417,168,1,3,183.26
418,168,4201,3,110.33
419,169,2874,1,115.63
420,169,1074,3,646.48
421,169,4674,1,336.41
422,170,2131,1,338.02
423,171,3308,1,555.2
424,171,4508,3,477.06
425,171,4208,3,325.82
426,172,2213,1,147.46
427,172,2813,3,290.4
428,172,4613,3,254.12
429,173,2398,1,179.22
430,173,1198,2,99.73
431,173,4498,1,580.54
432,174,3552,1,548.8
433,174,1152,2,95.52
434,174,1752,1,632.63
435,175,2699,2,359.49
436,175,3899,1,502.04
437,175,1199,1,475.66
438,176,471,1,246.37
439,176,1671,1,407.36
440,177,1285,2,148.65
441,177,4285,1,448.67
442,177,2785,1,316.96
443,178,2546,3,148.46
444,178,4046,1,116.3
445,178,446,1,378.69
446,179,864,3,181.92
447,179,3864,2,167.05
448,179,3264,3,134.67
449,180,2002,2,413.62
450,180,802,2,582.65
451,180,502,1,300.8
452,181,3747,3,604.03
453,181,1047,1,479.35
454,181,4947,2,137.03
455,181,747,1,503.1
456,182,657,1,518.31
457,182,2157,3,271.69
458,182,1557,1,115.78
459,183,2697,1,635.58
460,183,4197,2,288.09
461,183,897,1,396.83
462,184,4992,1,436.74
463,184,2892,2,517.33
464,185,2024,1,643.94
465,185,2924,1,526.06
466,185,3224,2,560.79
467,186,2093,1,332.94
468,186,3593,1,124.56
469,186,4493,2,300.11
470,187,2957,1,439.9
471,187,1457,3,309.85
472,187,1157,2,403.29
473,188,419,1,281.52
474,188,1019,1,546.41
475,188,3719,3,241.4
476,188,3119,1,331.77
477,189,820,2,113.05
478,189,4120,1,513.28
479,190,4602,1,221.13
480,190,3102,3,494.72
481,190,4302,1,331.17
482,190,1602,1,206.94
483,191,4840,2,549.19
484,191,40,1,187.89
485,192,4035,3,368.14
486,192,4935,3,358.14
487,192,1035,3,477.37
488,193,374,3,382.53
489,193,2774,2,598.09
490,194,2408,1,513.45
491,194,3308,1,555.2
492,194,4808,1,446.46
493,195,10,3,455.47
494,195,3010,1,390.94
495,195,3310,2,436.9
496,196,2501,3,81.08
497,196,4601,3,448.06
498,196,401,1,511.65
499,197,915,2,85.75
500,197,2115,2,594.33
501,197,4815,1,478.8
502,197,1515,3,476.37
503,198,2841,2,473.6
504,198,1041,1,470.14
505,199,1499,3,334.48
506,199,3899,1,502.04
507,199,3299,3,418.71
508,200,1785,2,506.2
509,201,1364,2,84.89
510,201,3464,2,587.65
511,201,164,1,219.22
512,202,1689,2,564.64
513,202,1089,2,417.68
514,203,3893,1,276.76
515,203,1193,1,185.75
516,204,3822,1,519.74
517,204,2322,2,170.98
518,205,1815,3,323.63
519,205,4815,3,478.8
520,205,1215,3,328.37
521,206,3100,2,526.69
522,207,4105,1,551.51
523,207,3505,1,113.19
524,207,2305,2,514.31
525,207,205,1,386.62
526,208,4284,2,148.44
527,208,3384,1,486.03
528,208,2784,2,564.38
529,209,4211,2,314.69
530,209,3611,3,413.31
531,209,2711,1,83.52
532,209,4511,3,414.15
533,210,3670,1,191.71
534,211,3392,1,249.35
535,211,3992,3,262.01
536,212,4846,1,133.54
537,212,4546,2,108.29
538,212,2146,3,258.71
539,213,3281,1,409.41
540,213,3881,1,568.45
541,214,1105,1,646.25
542,214,2005,3,348.99
543,214,4105,3,551.51
544,214,4405,3,344.92
545,215,4680,2,363.26
546,215,4380,1,330.02
547,216,4366,1,595.68
548,216,3466,2,283.28
549,216,1666,1,147.55
550,217,1302,3,391.07
551,217,102,2,136.69
552,218,896,2,432.1
553,218,2096,2,214.75
554,219,2951,2,108.55
555,219,4151,1,146.76
556,219,2051,3,286.05
557,220,4748,1,347.42
558,220,4148,2,138.77
559,221,1157,1,403.29
560,222,3252,3,295.08
561,222,2952,2,394.74
562,223,2542,3,401.44
563,223,3742,2,499.51
564,224,4171,2,295.89
565,224,2071,1,449.82
566,224,2671,3,492.6
567,224,271,1,382.15
568,225,338,1,591.33
569,225,1538,1,338.94
570,225,638,3,431.59
571,226,1258,3,342.32
572,226,58,2,642.73
573,227,3380,2,562.37
574,228,2519,1,500.55
575,228,3419,2,462.38
576,229,3174,3,220.09
577,229,174,3,208.41
578,230,2026,3,228.22
579,230,3526,1,138.14
580,230,526,1,376.92
581,230,1426,2,233.08
582,231,228,2,228.81
583,232,2957,3,439.9
584,233,3900,3,546.9
585,234,4341,1,560.41
586,234,4641,2,301.93
587,234,2841,1,473.6
588,235,2434,3,587.64
589,235,1534,2,318.35
590,236,253,1,556.93
591,236,4153,2,260.86
592,237,2474,1,429.52
593,238,2047,2,163.22
594,238,1147,3,442.53
595,238,1447,1,254.4
596,238,2647,3,441.18
597,239,2228,1,258.59
598,239,1628,3,285.41
599,239,3428,3,187.04
600,239,4628,2,144.29
601,240,4289,2,96.33
602,240,1289,3,145.47
603,240,4589,3,473.23
604,241,3024,2,567.33
605,242,4698,1,183.59
606,242,3198,1,502.37
607,242,1398,1,201.36
608,243,1347,1,446.47
609,244,119,1,488.1
610,244,4619,3,396.48
611,245,3363,1,624.45
612,246,449,3,563.34
613,247,3491,3,565.03
614,247,3791,1,123.58
615,248,3159,2,212.48
616,248,1959,1,393.65
617,248,459,2,120.61
618,249,851,1,374.15
619,249,551,3,80.24
620,250,2524,2,244.14
621,250,4324,2,572.71
622,250,2824,3,438.25
623,251,531,3,387.36
624,251,2031,1,160.55
625,252,2936,1,551.56
626,252,3836,2,403.24
627,252,1436,1,336.38
628,253,285,1,278.56
629,253,885,2,638.4
630,254,2344,1,577.37
631,255,2727,3,520.62
632,255,927,1,255.7
633,256,3582,3,424.59
634,256,2682,3,553.82
635,257,936,1,615.88
636,258,1489,2,277.83
637,258,3289,2,243.53
638,259,4741,1,106.42
639,259,1141,3,561.73
640,260,440,1,645.92
