order_id,user_id,restaurant_id,order_date,order_status,subtotal,delivery_fee,discount,total_amount,payment_method
1,767,246,2026-02-14 07:44:12,Payment Failed,3631.96,0,0,3631.96,Wallet
2,4563,3,2026-05-12 21:33:12,Completed,1840.83,0,50,1790.83,Wallet
3,7501,272,2026-02-22 15:18:29,Completed,2245.05,0,50,2195.05,Cash
4,346,243,2026-04-22 14:43:33,Completed,3364.83,0,50,3314.83,Cash
5,9049,59,2026-06-15 15:27:20,Completed,716.23,0,50,666.23,UPI
6,6533,279,2026-01-31 13:50:20,Cancelled,1259.68,0,100,1159.68,Wallet
7,2265,123,2026-06-24 19:54:03,Completed,2743.71,0,0,2743.71,Card
8,2689,95,2026-06-01 13:08:11,Completed,3693.18,0,0,3693.18,UPI
9,8329,46,2026-05-24 19:12:09,Payment Failed,2755.01,0,0,2755.01,UPI
10,4260,156,2026-06-12 16:16:28,Completed,2572.17,0,0,2572.17,Cash
11,4316,113,2026-03-16 12:42:21,Completed,1533.34,0,0,1533.34,Wallet
12,856,234,2026-05-28 21:53:17,Cancelled,1531.55,0,0,1531.55,Card
13,33,287,2026-06-17 22:15:27,Cancelled,2424.78,0,0,2424.78,Cash
14,1534,141,2026-06-05 14:14:14,Completed,825.73,0,50,775.73,Wallet
15,918,144,2026-05-11 16:43:53,Completed,1162.46,0,0,1162.46,UPI
16,7560,267,2026-06-23 19:09:17,Completed,4182.56,0,0,4182.56,Cash
17,4022,198,2026-05-12 08:05:30,Payment Failed,3352.35,0,120,3232.35,Cash
18,7531,129,2026-05-01 14:23:07,Completed,791.84,0,0,791.84,UPI
19,8044,54,2026-06-05 22:40:31,Completed,1232.67,0,0,1232.67,Card
20,3590,5,2026-06-21 13:14:19,Completed,2489.76,0,50,2439.76,Card
21,898,99,2026-05-26 07:12:48,Completed,2237.0,0,50,2187.0,Wallet
22,473,123,2026-06-14 23:40:54,Payment Failed,1551.21,0,0,1551.21,Card
23,2907,292,2026-06-08 11:55:53,Completed,1352.52,0,0,1352.52,Cash
24,3452,259,2026-04-22 08:26:11,Completed,2644.94,0,0,2644.94,Wallet
25,8935,180,2026-06-29 08:29:41,Completed,3087.88,0,100,2987.88,UPI
26,693,43,2026-05-16 15:42:10,Completed,2465.91,0,0,2465.91,UPI
27,8609,222,2026-06-16 17:32:19,Completed,3101.76,0,0,3101.76,Card
28,7943,166,2026-06-27 10:43:22,Cancelled,671.65,0,0,671.65,UPI
29,6326,171,2026-06-30 14:34:10,Completed,1656.42,0,50,1606.42,Wallet
30,6675,12,2026-06-09 13:44:59,Completed,594.98,60,0,654.98,Card
31,4253,291,2026-06-05 20:50:40,Completed,1686.22,0,0,1686.22,Card
32,9256,39,2026-05-31 22:48:12,Completed,1303.26,0,50,1253.26,UPI
33,1400,1,2026-05-29 08:30:54,Cancelled,2269.84,0,50,2219.84,Cash
34,781,93,2026-04-09 12:20:03,Completed,437.02,60,0,497.02,Card
35,7779,116,2026-06-25 16:55:23,Completed,509.27,60,0,569.27,Card
36,4755,129,2026-06-09 21:59:52,Completed,1974.31,0,0,1974.31,Wallet
