restaurant_id,restaurant_name,city,cuisine,rating,delivery_time
1,South Indian Kitchen 1,Hyderabad,South Indian,3.8,48
2,Biryani Kitchen 2,Visakhapatnam,Biryani,3.9,44
3,North Indian Kitchen 3,Bengaluru,North Indian,3.4,59
4,Desserts Kitchen 4,Chennai,Desserts,4.1,40
5,Pizza Kitchen 5,Pune,Pizza,3.8,28
6,Fast Food Kitchen 6,Mumbai,Fast Food,4.7,39
7,North Indian Kitchen 7,Delhi,North Indian,3.6,55
8,Pizza Kitchen 8,Hyderabad,Pizza,3.9,31
9,Cafe Kitchen 9,Visakhapatnam,Cafe,3.5,58
10,Indian Kitchen 10,Bengaluru,Indian,4.9,30
11,North Indian Kitchen 11,Chennai,North Indian,4.9,46
12,Desserts Kitchen 12,Pune,Desserts,4.2,22
13,Pizza Kitchen 13,Mumbai,Pizza,4.3,26
14,Fast Food Kitchen 14,Delhi,Fast Food,4.9,36
15,South Indian Kitchen 15,Hyderabad,South Indian,3.6,30
16,Desserts Kitchen 16,Visakhapatnam,Desserts,4.4,34
17,Healthy Kitchen 17,Bengaluru,Healthy,3.9,54
18,Healthy Kitchen 18,Chennai,Healthy,3.6,35
19,Cafe Kitchen 19,Pune,Cafe,3.4,32
20,Healthy Kitchen 20,Mumbai,Healthy,4.3,58
21,Healthy Kitchen 21,Delhi,Healthy,3.9,29
22,Fast Food Kitchen 22,Hyderabad,Fast Food,4.3,36
23,Pizza Kitchen 23,Visakhapatnam,Pizza,4.3,46
24,North Indian Kitchen 24,Bengaluru,North Indian,4.2,47
25,South Indian Kitchen 25,Chennai,South Indian,3.3,43
26,Pizza Kitchen 26,Pune,Pizza,3.8,37
27,Healthy Kitchen 27,Mumbai,Healthy,3.3,39
28,Chinese Kitchen 28,Delhi,Chinese,4.0,25
29,Biryani Kitchen 29,Hyderabad,Biryani,4.6,57
30,North Indian Kitchen 30,Visakhapatnam,North Indian,3.9,50
31,Chinese Kitchen 31,Bengaluru,Chinese,4.3,20
32,Pizza Kitchen 32,Chennai,Pizza,3.3,24
33,North Indian Kitchen 33,Pune,North Indian,4.6,46
34,Biryani Kitchen 34,Mumbai,Biryani,4.7,60
35,Indian Kitchen 35,Delhi,Indian,4.2,47
36,South Indian Kitchen 36,Hyderabad,South Indian,3.7,22
37,Cafe Kitchen 37,Visakhapatnam,Cafe,4.7,25
38,Indian Kitchen 38,Bengaluru,Indian,3.3,26
39,Pizza Kitchen 39,Chennai,Pizza,3.9,57
40,Fast Food Kitchen 40,Pune,Fast Food,3.7,39
41,Chinese Kitchen 41,Mumbai,Chinese,3.3,26
42,Desserts Kitchen 42,Delhi,Desserts,4.7,37
43,Pizza Kitchen 43,Hyderabad,Pizza,3.4,51
44,Biryani Kitchen 44,Visakhapatnam,Biryani,4.7,30
45,Indian Kitchen 45,Bengaluru,Indian,4.7,40
46,North Indian Kitchen 46,Chennai,North Indian,4.6,28
47,Fast Food Kitchen 47,Pune,Fast Food,4.3,55
48,Cafe Kitchen 48,Mumbai,Cafe,4.1,49
49,Chinese Kitchen 49,Delhi,Chinese,3.3,32
50,North Indian Kitchen 50,Hyderabad,North Indian,3.4,45
51,Fast Food Kitchen 51,Visakhapatnam,Fast Food,4.6,45
52,Cafe Kitchen 52,Bengaluru,Cafe,4.7,22
53,Desserts Kitchen 53,Chennai,Desserts,3.3,54
54,Pizza Kitchen 54,Pune,Pizza,4.5,24
55,South Indian Kitchen 55,Mumbai,South Indian,4.6,25
56,Chinese Kitchen 56,Delhi,Chinese,4.3,36
57,Indian Kitchen 57,Hyderabad,Indian,4.3,42
58,Indian Kitchen 58,Visakhapatnam,Indian,4.8,46
59,Biryani Kitchen 59,Bengaluru,Biryani,3.5,49
60,Pizza Kitchen 60,Chennai,Pizza,4.7,36
61,Chinese Kitchen 61,Pune,Chinese,3.7,56
62,Biryani Kitchen 62,Mumbai,Biryani,4.5,46
63,Fast Food Kitchen 63,Delhi,Fast Food,3.4,47
64,Fast Food Kitchen 64,Hyderabad,Fast Food,3.3,40
65,Chinese Kitchen 65,Visakhapatnam,Chinese,3.7,51
66,Biryani Kitchen 66,Bengaluru,Biryani,3.3,46
67,Indian Kitchen 67,Chennai,Indian,3.5,43
68,Cafe Kitchen 68,Pune,Cafe,4.7,32
69,Healthy Kitchen 69,Mumbai,Healthy,4.1,51
70,Fast Food Kitchen 70,Delhi,Fast Food,3.8,60
71,Healthy Kitchen 71,Hyderabad,Healthy,4.0,40
72,Cafe Kitchen 72,Visakhapatnam,Cafe,4.8,31
73,Indian Kitchen 73,Bengaluru,Indian,3.6,24
74,Fast Food Kitchen 74,Chennai,Fast Food,4.7,30
75,Healthy Kitchen 75,Pune,Healthy,4.5,30
76,Chinese Kitchen 76,Mumbai,Chinese,3.3,26
77,Pizza Kitchen 77,Delhi,Pizza,4.8,37
78,Chinese Kitchen 78,Hyderabad,Chinese,3.2,35
