user_id,signup_date,city,age_group,device_type,acquisition_channel
1,2026-06-13,Hyderabad,18-24,iOS,Google Ads
2,2026-02-27,Visakhapatnam,18-24,Android,YouTube
3,2026-01-23,Pune,45+,Android,Organic
4,2026-02-25,Visakhapatnam,18-24,Android,Push Notification
5,2026-06-16,Mumbai,45+,Android,YouTube
6,2026-03-13,Delhi,18-24,iOS,Google Ads
7,2026-06-28,Chennai,35-44,Android,Google Ads
8,2026-03-28,Hyderabad,18-24,Android,Instagram
9,2026-03-30,Pune,35-44,iOS,Push Notification
10,2026-04-28,Pune,18-24,iOS,Referral
11,2026-01-21,Pune,35-44,iOS,YouTube
12,2026-04-03,Pune,25-34,iOS,Organic
13,2026-06-19,Visakhapatnam,35-44,iOS,Google Ads
14,2026-01-26,Chennai,35-44,Android,Instagram
15,2026-02-11,Bengaluru,35-44,Android,Instagram
16,2026-06-29,Mumbai,18-24,Android,Google Ads
17,2026-05-17,Mumbai,25-34,Android,Referral
18,2026-03-11,Mumbai,25-34,Android,Organic
19,2026-02-28,Delhi,18-24,iOS,Referral
20,2026-03-10,Hyderabad,25-34,iOS,YouTube
21,2026-03-22,Visakhapatnam,45+,Android,Push Notification
22,2026-04-28,Visakhapatnam,35-44,Android,Push Notification
23,2026-05-24,Pune,35-44,iOS,Referral
24,2026-05-30,Chennai,35-44,Android,Google Ads
25,2026-05-11,Chennai,18-24,iOS,Organic
26,2026-02-09,Mumbai,25-34,iOS,Referral
27,2026-06-02,Hyderabad,45+,Android,Referral
28,2026-05-16,Bengaluru,18-24,Android,Organic
29,2026-06-24,Pune,35-44,iOS,Instagram
30,2026-01-29,Bengaluru,45+,Android,Organic
31,2026-03-09,Pune,25-34,Android,Organic
32,2026-06-10,Bengaluru,25-34,Android,Google Ads
33,2026-05-19,Delhi,18-24,Android,Referral
34,2026-01-05,Hyderabad,35-44,iOS,Instagram
35,2026-03-03,Hyderabad,25-34,iOS,Organic
36,2026-01-22,Mumbai,45+,iOS,YouTube
37,2026-02-02,Visakhapatnam,45+,iOS,Google Ads
38,2026-03-09,Pune,45+,iOS,YouTube
39,2026-06-26,Visakhapatnam,35-44,Android,Push Notification
40,2026-06-16,Bengaluru,45+,iOS,Referral
41,2026-01-31,Visakhapatnam,25-34,Android,Organic
42,2026-05-31,Pune,25-34,Android,Organic
43,2026-01-19,Mumbai,18-24,Android,Organic
44,2026-03-26,Hyderabad,25-34,Android,Referral
45,2026-02-24,Pune,25-34,iOS,YouTube
46,2026-05-28,Chennai,25-34,iOS,Referral
47,2026-02-18,Hyderabad,18-24,Android,Instagram
48,2026-04-19,Chennai,45+,iOS,Organic
49,2026-06-22,Mumbai,18-24,Android,Push Notification
